CID,FirstName,LastName,Street,City,State,Zip,Phone
30001,Allison,Greene,2732 Baker Blvd.,Greensboro,NC,27492,5553345678
30002,Bernett,Fox,12 Orchestra Terrace,High Point,NC,27494,5553583364
30003,Clay,Hayes,P.O. Box 555,Greensboro,NC,27492,5559984457
30004,Cordle,Collins,2743 Bering St.,Winston-Salem,NC,27492,5554472283
30005,Eaton,Wagner,2743 Bering St.,Greensboro,NC,27492,5559883346
30006,Kwasi,Williams,89 Jefferson Way,High Point,NC,27494,5554475565
30007,Natasha,Simpson,187 Suffolk Ln.,Greensboro,NC,27493,5557753389
30008,Joy,Jones,305 - 14th Ave. S.,Winston-Salem,NC,27493,5552587655
30009,John,Nunn,89 Chiaroscuro Rd.,Greensboro,NC,27494,5559985557
30010,Laura,Peterson,120 Hanover Sq.,Winston-Salem,NC,27492,5553346654
30011,Mark,Wills,1007 West Main St,Grove City,NC,27295,5551251258
